gene,IMR-90_NPC_siNC_1,IMR-90_NPC_siNC_2,IMR-90_NPC_siNC_3,IMR-90_NPC_siNC_4,IMR-90_NPC_siNC_5,IMR-90_NPC_siNC_6,IMR-90_NPC_siZCC_1,IMR-90_NPC_siZCC_2,IMR-90_NPC_siZCC_3,IMR-90_NPC_siZCC_4,IMR-90_NPC_siZCC_5,IMR-90_NPC_siZCC_6
LINC02741,1,0,0,0,0,0,0,0,0,0,0,1
AC021006.1,0,0,0,0,0,0,0,0,0,0,0,0
AC021006.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC01499,0,1,1,0,0,0,0,0,0,0,2,1
AC023442.1,0,0,0,0,0,0,0,0,0,0,0,1
AC023442.3,0,0,0,0,0,0,0,0,0,0,0,0
AC023442.2,0,0,0,0,0,1,0,0,0,0,0,0
LINC02745,3,1,0,0,0,0,0,0,1,0,0,0
LINC02740,0,0,2,0,1,0,1,1,1,1,1,1
AC109810.1,0,0,1,0,0,0,0,0,0,0,0,0
AC009643.2,0,0,0,0,0,0,0,0,0,0,0,0
AC009643.1,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPKP3,1,0,3,2,0,2,0,0,0,0,3,0
API5,14594,14579,14702,11000,14804,14917,10320,13987,11545,9158,10029,12194
AC087276.2,27,12,29,5,9,22,18,9,12,6,9,21
TTC17,14687,15687,14764,11974,16354,15311,11854,15574,13168,10843,11309,13580
AC087276.3,2,0,1,0,0,0,5,0,1,6,0,3
AC087276.1,97,141,111,95,143,145,66,144,118,114,95,133
RN7SKP287,0,1,0,0,0,0,0,0,0,0,0,0
PPIAP41,60,67,72,45,82,76,43,77,65,51,54,57
CTBP2P6,4,1,0,3,2,9,3,3,4,4,2,2
AC068205.1,130,138,111,73,121,118,124,130,167,120,98,171
MIR670,0,0,1,1,0,0,0,1,0,0,1,0
MIR670HG,7,8,6,4,15,5,6,4,9,10,6,7
AC068205.2,838,900,820,641,882,784,620,800,741,565,629,736
MIR129-2,0,3,1,0,1,0,3,3,2,0,2,3
HSD17B12,7187,7225,7415,5343,7663,6736,5542,8042,6146,4833,5337,7088
AC068205.3,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP63,0,0,0,0,0,0,0,0,0,1,0,0
PHBP2,0,0,0,0,0,0,0,0,0,0,0,1
AC068205.4,0,0,0,0,0,0,0,0,0,0,0,0
AC087521.2,228,190,221,151,214,185,117,179,161,134,140,198
AC087521.4,1,0,4,1,1,1,7,7,0,1,0,2
ALKBH3,690,764,746,565,779,721,525,602,515,417,502,589
SEC14L1P1,83,121,118,67,122,110,58,96,74,79,85,87
ALKBH3-AS1,0,1,0,1,0,3,1,0,0,2,0,1
AC087521.3,24,23,21,21,32,37,32,25,20,10,18,18
C11orf96,434,628,559,436,705,511,774,828,777,597,561,528
AC087521.1,2,2,1,1,0,1,0,3,2,2,0,0
ACCSL,2,3,0,0,0,1,2,1,1,1,0,0
ACCS,13,13,19,12,21,14,8,8,13,3,5,15
AC134775.1,0,0,0,0,0,0,0,1,0,0,0,4
EXT2,12777,12818,13175,10321,13225,13508,9327,11589,10132,8443,9293,10978
ALX4,47,46,56,36,74,61,41,37,29,24,41,41
AC010768.4,0,0,0,0,0,0,0,0,0,0,0,0
AC010768.3,0,1,0,0,0,1,0,0,0,0,1,1
CD82,3919,4337,4383,3388,4550,3901,3306,3380,3269,3080,3293,3700
AC010768.1,2,2,2,0,1,0,4,0,1,0,0,2
AC010768.2,2,0,0,0,0,0,0,0,0,0,0,0
RPL34P22,5,6,5,11,2,4,7,3,1,4,7,11
AC104010.1,2,0,0,0,0,1,0,0,0,0,0,1
LINC02704,0,0,0,0,0,0,2,0,0,0,1,0
TSPAN18-AS1,0,0,0,0,0,0,0,0,0,0,0,0
TSPAN18,8327,9457,8953,7247,9714,8008,7484,8793,8252,7750,7635,8481
TP53I11,5902,6886,6438,5256,6821,6408,4881,5386,4932,4350,4855,5014
LINC02685,0,0,1,0,0,0,0,0,0,0,0,0
AC068858.1,0,0,0,0,0,1,0,0,0,0,0,0
PRDM11,3832,4486,4024,3337,4688,4212,3010,3695,2999,2718,3109,3033
AC103681.2,0,1,0,0,0,0,0,0,0,0,0,0
SYT13,10368,13068,11793,8721,13383,11266,9100,10721,7826,7904,8932,8000
AC103681.1,1,1,8,1,1,0,6,0,1,2,0,0
LINC02696,293,389,337,244,355,315,250,324,256,234,237,285
LINC02687,5,2,4,3,17,4,3,8,3,3,2,2
AC103855.3,0,1,1,0,1,1,1,1,0,0,0,1
AC018716.2,9,7,12,4,12,6,2,6,3,2,3,4
AC018716.1,0,4,0,0,3,0,0,0,0,0,1,0
AC103855.2,26,52,45,23,47,36,35,37,31,34,26,23
AC103855.4,0,0,0,0,0,0,0,0,0,0,0,0
AC103855.1,0,0,0,0,0,0,0,0,0,0,0,0
CHST1,182,207,213,171,231,214,157,180,125,173,174,102
AC087442.1,0,0,0,1,0,0,0,0,0,0,0,0
MIR7154,0,0,0,0,0,0,0,0,0,0,0,0
