gene,IMR-90_NPC_siNC_1,IMR-90_NPC_siNC_2,IMR-90_NPC_siNC_3,IMR-90_NPC_siNC_4,IMR-90_NPC_siNC_5,IMR-90_NPC_siNC_6,IMR-90_NPC_siZCC_1,IMR-90_NPC_siZCC_2,IMR-90_NPC_siZCC_3,IMR-90_NPC_siZCC_4,IMR-90_NPC_siZCC_5,IMR-90_NPC_siZCC_6
BCL2L10,22,20,34,28,12,14,12,14,10,11,20,17
GNB5,5837,6515,6596,4974,6477,6286,4546,5478,4434,4029,4580,4757
AC023906.3,1,4,3,5,4,2,1,5,3,1,0,3
AC023906.4,11,8,6,2,4,2,9,5,3,1,2,1
CERNA1,103,111,118,73,116,106,64,94,113,59,91,96
MYO5C,5153,5070,5051,4239,5443,5521,3005,4159,3616,2550,3166,3602
MIR1266,0,0,0,0,1,0,0,3,0,0,0,0
MYO5A,27986,29843,25309,20059,36118,33918,22444,27729,20804,18502,21892,22327
EEF1B2P1,25,19,29,26,22,25,17,25,13,20,17,12
ARPP19,30248,29942,30359,22631,30248,30710,21142,28705,23815,18619,19911,25731
AC025917.1,3,4,5,0,3,1,5,2,2,1,1,1
FAM214A,6044,6236,6226,5120,6682,6855,4421,5921,4591,3774,4425,4995
AC009754.1,16,13,21,7,16,13,6,4,6,8,5,5
AC009754.2,28,27,22,9,29,23,18,19,13,10,9,13
ONECUT1,12,16,9,24,31,19,17,17,24,7,11,17
AC016044.1,0,4,2,1,0,0,0,1,0,1,0,0
RPSAP55,9,1,1,1,5,4,3,0,3,1,3,4
EEF1A1P22,142,155,171,93,157,133,130,102,114,108,102,162
LINC02490,0,0,0,0,0,0,0,0,0,0,0,0
AC066614.1,0,0,0,0,0,0,0,0,0,0,0,0
WDR72,5,2,3,4,1,5,3,2,3,1,3,4
RNU2-53P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-449P,0,0,0,0,0,0,0,0,0,0,0,0
AC084759.1,0,0,0,0,0,0,0,0,0,0,0,0
AC084759.3,3,0,0,0,0,0,0,0,0,0,0,0
AC084759.2,0,0,0,0,0,0,0,0,0,0,0,0
UNC13C,14,3,2,0,3,2,5,0,2,0,5,0
AC010867.1,0,0,1,1,0,0,0,0,0,2,0,1
HNRNPA1P74,0,0,0,0,0,0,0,0,0,0,0,0
AC025272.1,0,0,0,0,0,0,0,0,0,0,0,0
AC011912.1,178,182,180,174,170,178,111,173,121,113,113,127
RSL24D1,8253,8703,9567,6246,8529,8216,5907,8422,6510,5280,5597,7106
RAB27A,1661,1480,1636,1164,1382,1599,999,1418,1160,885,888,1236
AC018926.2,40,50,38,25,45,45,24,31,29,34,26,44
PIGBOS1,524,541,500,362,509,475,308,464,361,267,313,415
PIGB,1081,1054,1127,874,1112,1144,699,921,813,639,682,787
CCPG1,1862,1700,1691,1384,1905,1777,1324,1908,1522,1211,1243,1642
AC018926.1,9,5,8,15,13,14,5,8,2,8,8,6
AC018926.3,7,21,13,10,25,20,9,8,10,9,11,12
DNAAF4-CCPG1,0,2,6,8,9,9,0,6,3,1,2,5
MIR628,9,4,4,2,7,7,1,3,1,4,3,2
C15orf65,296,277,333,197,329,319,169,255,226,146,208,195
DNAAF4,235,244,319,219,261,308,145,215,177,151,183,186
AC013355.1,61,54,61,47,48,65,35,44,44,25,21,29
PYGO1,5166,5216,4658,3832,6361,6160,4215,5479,4296,3473,3866,4641
AC012378.2,178,163,241,166,209,190,151,152,166,141,122,138
PRTG,4443,3883,4025,3432,5048,5665,3005,4071,3241,2824,2811,3777
AC012378.1,0,1,1,0,0,0,1,0,1,0,0,0
AC009997.1,5,3,5,1,2,3,3,5,1,2,3,3
NEDD4,4735,3737,4058,3524,4299,5426,2606,3482,2976,2041,2141,3211
CNOT6LP1,9,5,14,6,11,13,11,9,14,10,8,2
RN7SL568P,0,0,0,0,0,0,0,0,0,0,0,0
CD24P2,4,0,8,5,9,2,3,2,1,3,5,2
RFX7,11065,11557,10192,8142,13125,12599,8457,11097,8831,7176,8057,9325
AC084783.1,6,2,0,2,2,2,5,2,3,0,1,0
TEX9,3346,3169,3320,2580,3411,3689,2283,3078,2633,2122,2170,2846
AC068726.1,2,5,11,10,5,4,2,6,1,5,4,4
RNU6-1287P,0,0,0,0,0,0,0,0,0,0,0,0
HMGB1P33,1,5,5,0,1,1,4,3,3,1,0,2
AC084782.1,9,3,8,4,5,7,8,9,3,0,1,16
AC084782.2,1,4,2,2,3,2,1,1,3,0,2,1
MNS1,157,115,181,91,118,148,71,102,90,80,78,78
AC084782.3,210,224,264,209,253,249,153,193,165,125,139,184
AC090518.1,1,4,0,1,3,3,1,3,0,1,0,1
ZNF280D,175,154,161,154,150,169,129,131,135,111,105,129
AC090517.4,2,2,6,2,1,0,0,0,6,0,0,3
AC090517.2,2,0,0,1,1,1,1,0,1,1,0,0
AC090517.3,0,0,0,0,0,0,0,0,0,0,0,0
AC090517.5,156,178,152,130,194,198,103,124,106,109,98,112
AC090517.1,0,0,0,0,0,0,0,0,0,0,0,0
AC010999.2,25,39,26,19,47,49,29,26,33,17,19,22
AC010999.1,8,8,4,4,7,5,1,8,9,2,4,6
TCF12,23200,23802,22527,18703,24801,24842,16285,21333,18146,14742,16266,18958
HNRNPA3P11,12,1,1,6,10,4,7,8,1,5,3,7
SNORD13D,1,0,0,1,0,0,0,1,0,0,1,0
LINC00926,521,492,642,491,502,593,330,470,386,291,361,421
LINC01413,2,5,1,1,3,0,1,4,2,0,1,0
NDUFB10P1,0,0,0,0,0,0,1,0,0,0,0,0
CGNL1,548,351,355,361,297,338,277,334,377,196,224,298
RNU6-844P,0,0,0,0,0,0,0,0,0,0,0,0
AC025271.3,0,0,0,0,0,0,0,0,0,0,0,0
AC025271.2,5,0,1,0,0,0,0,0,0,0,0,0
AC025271.4,3,3,5,3,0,3,2,3,3,0,0,0
AC025271.1,1,0,0,0,0,0,0,0,2,0,2,0
MYZAP,4,1,0,7,1,3,0,3,1,0,1,4
GCOM1,4,13,7,5,4,9,7,9,6,7,1,6
POLR2M,2120,2231,2280,1603,2323,2240,1539,2046,1671,1348,1455,1732
AC090651.1,4,4,5,5,9,9,3,6,1,2,3,5
ALDH1A2,165,89,122,100,95,132,79,85,71,49,62,86
AC012653.1,0,0,0,0,0,1,0,1,1,1,1,0
AC012653.2,0,1,2,0,1,0,0,0,0,1,0,0
AC025431.1,0,1,0,0,0,0,0,0,0,0,0,0
AQP9,40,87,69,35,55,103,51,20,35,58,58,18
MTCO3P23,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P12,0,0,0,0,0,0,0,0,0,0,0,0
AC066616.2,0,0,0,0,1,0,1,0,0,0,0,0
MTND5P32,1,0,0,1,0,1,0,0,0,0,0,0
MTCYBP23,0,0,0,0,0,0,0,0,0,0,0,0
AC066616.1,0,0,0,0,0,1,0,1,0,0,0,0
LIPC,0,0,0,0,2,0,2,0,0,1,2,2
LIPC-AS1,0,1,0,0,0,1,0,0,0,0,0,0
AC084781.1,0,0,0,0,0,0,0,0,0,0,0,1
AC084781.2,0,0,0,0,0,0,0,0,0,0,0,0
AC018904.2,0,0,0,0,0,0,0,0,0,0,0,0
AC018904.1,0,0,0,0,0,1,1,0,0,0,0,1
ADAM10,11495,11182,10729,8861,11737,12357,7874,10692,8799,6802,7520,9195
HMGB1P51,0,0,0,0,0,0,0,0,0,0,0,0
AC091046.1,10,8,5,7,4,9,5,1,5,4,3,7
HSP90AB4P,50,55,77,53,61,52,42,67,34,36,47,57
RN7SKP95,1,4,2,2,1,1,0,1,2,1,3,4
AC091046.2,0,0,0,0,0,0,0,0,0,0,0,0
AC090515.6,9,7,4,5,10,13,3,4,3,5,3,3
AC090515.3,0,1,0,1,2,0,0,0,0,3,0,0
AC090515.2,120,97,140,108,145,108,74,94,67,58,73,88
MINDY2,5804,5660,5637,4017,6636,6353,4192,5947,4342,3442,3754,4852
AC090515.5,16,16,18,13,23,17,12,16,13,10,17,8
AC090515.4,9,2,1,5,6,4,3,8,0,0,3,8
ZNF444P1,2,2,1,6,2,3,1,1,0,2,1,2
RNF111,6574,6929,6433,5171,7186,6949,4434,6052,4930,4177,4608,5181
AC090515.1,3,2,0,1,7,4,4,6,1,0,0,2
SLTM,13506,13118,14186,11008,13401,13532,8734,10973,9183,7614,8178,10113
AC025918.1,8,1,10,3,4,1,14,2,3,0,0,1
AC025918.2,0,0,0,0,0,0,0,0,1,0,0,0
AC092757.1,0,0,0,0,0,0,0,2,0,0,0,0
CCNB2,2596,2731,2992,2151,2961,2710,1277,1566,1434,1253,1531,1539
AC092757.3,53,41,54,37,48,40,38,54,45,28,37,41
AC092757.2,9,8,13,4,12,11,6,11,7,2,5,5
MYO1E,5488,5441,5078,4172,5643,5714,4092,5080,4517,3570,3946,4663
MIR2116,3,3,2,4,5,1,2,6,5,5,2,3
LDHAL6B,1,1,10,2,7,2,6,2,3,2,1,3
RNU4-80P,4,4,8,1,3,5,3,5,8,2,2,4
AC092756.1,6,7,15,11,13,14,2,6,10,6,6,9
RNU6-212P,3,0,3,2,6,1,0,5,5,3,2,0
AC092868.2,12,5,8,5,9,16,12,12,7,10,12,2
FAM81A,1239,1394,1403,1152,1564,1382,1007,1301,1095,1038,1054,1123
NSA2P4,6,9,3,12,8,6,7,8,13,3,5,3
AC092868.1,0,0,0,0,0,0,0,0,1,0,1,0
AC092754.2,0,0,0,0,0,0,0,0,0,0,0,0
AC092754.1,1,4,0,0,0,0,0,1,1,0,0,0
RNA5SP396,0,0,0,0,0,0,0,0,0,0,0,0
GCNT3,2,1,0,1,4,4,3,4,4,0,0,2
GTF2A2,4872,5141,5479,3870,4993,4996,3554,4322,3657,2942,3303,4181
AC092755.1,17,18,20,9,13,9,7,6,11,7,11,4
BNIP2,6215,5995,5827,4595,6908,6496,4437,5930,4864,3735,4177,5031
PIGHP1,3,7,5,2,5,6,5,6,10,11,3,5
AC092755.2,3,5,7,3,3,5,3,3,1,2,5,4
RPS3AP6,518,617,662,461,597,585,596,570,517,450,507,567
AC092079.2,7,4,3,3,5,1,3,5,10,8,6,2
AC092079.1,10,10,9,3,8,13,9,7,6,11,9,8
NMNAT1P5,0,0,0,0,0,0,0,0,0,0,0,0
FOXB1,2760,3168,2930,2180,3207,2507,2800,3516,2905,2469,2705,3209
MESTP2,0,2,2,2,0,6,0,2,0,2,2,1
AC009654.1,61,69,73,50,87,86,46,56,56,36,59,54
AC037433.1,87,87,102,77,81,107,43,75,33,35,42,53
ANXA2,30682,25457,30776,24553,23571,30775,15406,19800,18426,12743,13341,18635
AC087385.1,0,0,0,0,0,0,0,0,0,0,0,0
AC087385.2,4,9,6,9,3,7,9,3,10,14,1,2
AC087385.3,0,0,0,1,0,1,0,1,2,0,0,2
ICE2,5267,4974,5029,4001,5548,5496,3718,4976,4305,3383,3692,4378
RORA-AS1,80,79,61,67,78,90,54,76,57,50,49,74
RORA,2056,1988,1856,1543,2484,2463,1709,2205,1676,1332,1568,1930
AC107241.1,9,11,6,3,18,15,9,9,11,14,10,7
CYCSP38,14,4,6,5,8,6,10,10,2,2,7,2
AC009560.1,19,20,15,25,11,27,12,19,17,16,15,15
AC009560.3,7,21,9,10,8,8,7,7,6,3,7,7
AC009560.4,39,34,18,27,35,33,28,26,16,22,21,16
AC009560.2,0,1,1,0,2,2,3,2,2,0,0,1
RORA-AS2,2,0,0,0,1,2,2,2,0,0,2,0
RNA5SP397,0,0,0,0,0,0,0,0,0,0,0,0
AC022898.1,0,0,0,0,0,0,0,1,0,0,0,0
AC022898.2,19,11,16,5,12,16,4,14,8,8,15,5
AC012404.1,0,0,0,0,0,0,0,0,0,0,0,0
AC012404.2,0,0,0,0,1,0,1,0,0,0,0,0
AC107905.1,3,0,1,0,1,0,0,0,0,0,0,3
AC104574.2,0,1,1,0,2,0,0,0,1,3,2,1
AC104574.1,1,0,0,0,1,0,0,0,0,0,0,0
AC018618.1,0,0,0,0,0,0,2,0,0,0,0,0
AC018618.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02349,0,0,0,0,0,0,0,0,0,0,0,0
AC009554.1,0,1,0,0,0,0,0,0,0,0,0,0
VPS13C,9207,8594,8208,6766,11078,10976,7488,10097,8151,6191,7041,8727
AC009554.2,0,0,0,0,0,0,2,0,0,0,0,0
AC104590.1,58,52,35,40,54,56,54,76,58,51,47,52
C2CD4A,7,5,7,6,17,9,6,5,2,1,3,5
NPM1P47,1,0,0,0,1,1,0,0,0,0,0,0
C2CD4B,0,0,0,0,0,0,0,0,0,0,0,1
AC126323.2,0,1,1,0,1,0,1,0,0,0,0,0
AC126323.1,1,3,5,2,3,2,0,0,1,3,2,1
AC126323.3,0,0,0,1,0,0,0,0,0,0,0,0
GOLGA2P11,0,0,0,0,0,1,0,0,0,1,0,3
AC126323.4,0,0,0,0,0,0,0,0,0,0,0,0
AC126323.6,0,1,0,1,0,0,0,0,0,0,0,0
AC126323.5,0,0,0,0,0,0,1,0,0,0,0,0
MIR8067,0,0,0,0,0,0,0,0,0,0,0,0
MIR6085,0,0,0,0,0,0,0,0,0,0,0,0
HMGN1P26,1,2,4,2,0,4,1,4,3,3,0,6
AC032011.1,46,50,39,52,51,60,37,52,54,28,27,64
TLN2,13684,14779,13092,11710,14836,14948,9661,11796,9915,8389,9340,10072
MGC15885,0,1,1,0,0,0,0,1,0,0,0,0
AC100839.1,0,0,1,1,0,0,0,1,0,0,0,3
MIR190A,0,1,0,0,0,0,0,0,1,0,0,0
AC103740.1,7,11,21,7,4,10,8,8,5,14,8,12
AC103740.2,8,6,8,6,5,9,2,2,4,3,1,3
AC079328.1,10,19,16,9,33,9,20,20,19,14,20,15
TPM1,29223,24477,26501,24582,23535,32587,14806,21489,17915,10403,12170,16423
TPM1-AS,5,4,12,4,8,5,10,4,5,2,5,6
AC079328.2,11,5,10,16,8,8,11,3,4,1,3,3
AC087612.1,2,1,0,3,1,1,1,1,1,0,4,0
LACTB,1638,1649,1727,1280,1728,1734,1323,1629,1343,1068,1146,1524
RPS27L,10474,10760,11475,7918,10456,10830,7797,10509,8520,6520,7198,9891
RAB8B,9006,9402,8774,6460,9979,9311,7137,10105,7756,6209,6722,8441
APH1B,457,555,566,435,512,504,380,462,399,284,328,400
CA12,11798,14482,13288,9687,15041,12039,11809,15025,11336,9149,11299,12210
LINC02568,18,29,19,21,33,24,23,36,19,17,31,40
AC007950.1,0,1,1,0,0,1,0,0,0,3,2,1
AC007950.2,39,17,38,29,28,31,23,30,22,25,16,27
USP3,7879,8269,8270,6047,8582,8106,6336,7988,6566,5537,5998,7007
USP3-AS1,39,48,67,35,59,47,32,45,42,17,35,32
FBXL22,19,19,19,27,25,21,16,21,20,13,18,11
HERC1,24762,28281,22516,20870,30335,27368,20126,25208,20621,17959,19796,21030
AC073167.1,5,3,3,3,7,5,15,2,5,8,3,8
MIR422A,0,0,2,0,0,0,0,0,0,0,0,0
AC015914.2,0,0,0,0,0,0,0,0,0,0,0,0
DAPK2,375,419,426,336,467,385,302,338,290,230,279,258
AC015914.1,0,0,0,0,0,0,0,0,0,0,0,0
CIAO2A,3209,3522,3520,2633,3246,3242,2514,3110,2603,2180,2239,2971
SNX1,14660,14898,15200,12428,15199,15317,9407,12343,10312,8240,9547,11203
AC100840.1,0,0,0,0,0,0,0,0,0,0,1,0
SNX22,610,760,774,547,671,610,538,527,426,363,442,455
PPIB,17556,18389,19511,14606,17505,18226,13059,15289,13760,11073,12247,15016
CSNK1G1,5017,5242,4961,3949,5332,5323,3593,4492,3804,3059,3339,4075
AC087632.2,34,20,25,19,20,32,12,23,21,12,11,20
AC087632.1,0,0,0,0,0,0,0,0,0,0,0,0
PCLAF,899,961,1000,753,973,883,629,820,684,496,633,594
TRIP4,2901,3013,3023,2333,2958,2890,1941,2513,2200,1710,1902,2300
AC091231.1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF609,18763,20346,19289,16452,21367,20695,13647,17031,14404,12719,14172,14784
AC091231.2,16,12,18,11,17,12,14,15,14,14,11,13
GAPDHP61,3,9,5,10,9,6,9,10,9,2,6,8
AC090543.2,41,28,37,22,24,37,25,31,27,18,15,30
AC090543.1,9,12,6,5,16,14,7,13,8,6,9,8
RNU6-549P,15,21,20,8,9,15,6,10,8,11,12,13
OAZ2,16877,17552,18820,13700,17705,17636,12949,15318,13179,11245,12362,14686
AC100830.3,61,62,57,52,65,71,30,53,49,44,44,62
AC100830.2,20,14,23,9,21,23,6,19,11,10,16,11
AC100830.1,36,35,49,35,28,47,18,25,24,33,24,28
RBPMS2,234,278,262,243,278,239,226,262,198,164,166,217
MIR1272,2,0,0,0,0,1,0,0,1,2,0,0
PIF1,1003,1033,1205,964,1305,1173,424,484,515,399,539,500
PLEKHO2,2036,2096,2216,1686,2143,2068,1400,1763,1546,1309,1365,1575
AC069368.1,16,11,19,10,17,16,12,19,20,6,13,10
AC069368.2,0,0,0,1,0,0,0,0,1,0,1,0
ANKDD1A,1225,1248,1118,941,1210,1100,851,1180,999,857,944,1100
AC103691.2,1,4,10,3,2,8,5,1,4,3,2,0
AC103691.1,630,568,763,554,658,736,317,502,415,300,371,433
SPG21,7290,7804,8051,6057,8030,7872,6021,7761,6720,5267,5466,6891
MTFMT,1338,1441,1537,1092,1487,1447,922,1184,1045,846,926,1110
AC013553.2,1,2,0,0,0,1,0,1,0,1,1,1
SLC51B,21,8,16,13,7,12,9,12,5,7,5,10
AC013553.3,1,2,9,1,3,4,2,3,6,4,2,2
RASL12,100,120,127,91,88,92,90,89,117,105,89,100
KBTBD13,0,0,0,0,0,0,0,3,1,0,1,0
AC013553.4,12,13,30,14,31,24,13,15,13,4,7,9
UBAP1L,3110,3741,3579,2798,3473,3077,2469,3393,2756,2253,2538,2572
AC013553.1,0,1,0,1,0,1,0,0,0,0,0,0
PDCD7,3972,4482,4431,3319,4492,4182,3316,4122,3585,2810,3039,3599
CLPX,8478,9061,8729,6723,9006,8822,6474,8541,7047,5862,6207,7734
CILP,267,317,268,225,317,285,175,236,214,176,214,192
AC068213.1,6,13,9,6,13,8,8,8,9,1,4,5
RNU6-686P,0,0,1,0,0,0,0,0,0,0,0,0
PARP16,1458,1642,1604,1212,1710,1548,1168,1355,1178,1115,1216,1319
SNORA24B,15,12,18,13,11,12,13,15,10,5,3,14
RNU5A-1,8,8,15,9,15,14,9,5,9,3,11,8
AC105129.2,4,9,7,2,6,8,4,4,8,9,6,4
RNU5B-1,1,2,2,0,3,3,5,3,0,1,1,1
IGDCC3,7212,8488,8499,6483,8696,7323,6384,8268,7065,5968,6874,7020
IGDCC4,10617,11483,10475,9019,10943,10630,8540,10688,9648,7840,8117,9912
DPP8,6148,6005,5471,4497,6162,6640,4392,5855,4801,3735,4140,4960
AC105129.3,0,0,0,0,0,0,0,1,1,0,0,0
AC105129.1,17,13,18,12,21,19,15,19,10,11,16,17
HACD3,34154,35067,36101,27784,35425,34793,25402,31830,26767,22375,23916,29332
RNU6-19P,2,0,2,1,4,1,0,0,0,1,1,0
INTS14,4684,4960,5163,3917,4951,4931,3433,4437,3780,3036,3428,4102
SLC24A1,1301,1504,1436,1077,1452,1357,1163,1493,1316,1028,1179,1382
AC011939.3,55,38,49,36,51,38,19,43,25,30,45,23
DENND4A,3115,2965,2783,2098,3481,3419,2490,3307,2662,2159,2229,2920
SNORD13E,1,1,2,0,3,3,0,1,3,3,0,1
MIR4511,1,2,0,0,0,0,0,3,1,0,0,0
RAB11A,14418,14951,15575,11771,15161,14932,10716,13666,11113,9220,10173,12322
AC011939.2,5,2,1,4,4,5,4,7,3,5,3,5
AC011939.1,33,23,20,7,28,26,19,36,22,16,18,21
HNRNPA1P44,1,1,3,0,9,3,3,2,3,2,2,1
AC084854.1,0,0,0,0,0,0,0,0,0,1,0,0
MEGF11,948,790,1003,798,728,1132,530,595,633,577,494,630
MIR4311,0,0,0,0,0,0,0,0,0,0,0,0
AC055855.2,22,27,24,21,17,30,17,25,22,18,21,16
DIS3L,5061,5638,5366,4205,5784,5238,3809,4755,3980,3439,3863,4215
AC055855.1,20,30,21,11,14,18,19,38,22,20,10,32
TIPIN,1002,1151,1033,858,1097,1100,826,980,865,711,728,883
SCARNA14,4,1,1,1,4,1,0,2,4,2,1,1
RPL9P25,0,0,0,0,0,0,0,0,0,0,0,0
MAP2K1,6483,7132,6666,5170,6770,6700,5362,6717,5636,4762,5111,6156
ATP5MFP6,0,0,0,1,0,0,0,0,0,0,0,0
RPL35AP32,1,0,0,3,0,1,0,0,2,0,1,2
AC116913.1,225,255,209,183,254,203,181,181,144,135,146,178
SNAPC5,1599,1871,1628,1340,1795,1577,1245,1593,1343,1084,1153,1553
MIR4512,18,23,28,19,34,29,17,28,26,10,19,23
RPL4,90585,107419,103877,75206,103706,91771,79469,95512,83121,72452,79411,90980
SNORD18C,0,0,0,0,0,0,0,0,0,0,0,0
AC116913.2,0,0,0,0,0,0,0,0,0,0,0,0
SNORD18B,0,0,0,0,0,0,0,0,0,0,0,0
SNORD16,0,0,0,0,0,0,0,0,0,0,0,0
SNORD18A,0,0,0,0,0,0,0,0,0,0,0,0
ZWILCH,3472,3629,3775,2636,3779,3744,2299,3019,2386,1922,2343,2448
LCTL,695,593,698,619,623,743,325,474,417,291,363,445
LINC01169,8,9,2,5,16,8,0,2,0,3,6,6
SMAD6,656,694,707,538,715,765,515,656,432,411,480,495
AC013564.1,1,2,0,1,0,4,1,0,2,1,0,0
AC110048.1,16,2,15,2,10,4,6,1,5,3,4,9
AC110048.2,42,39,55,34,32,62,19,26,19,22,28,20
AC093334.1,3,1,2,0,3,6,1,4,0,1,0,4
LINC02206,0,0,1,0,0,0,0,0,1,2,0,0
AC087482.1,20,18,14,11,34,19,14,20,20,17,24,12
HMGN2P47,0,0,0,0,0,0,0,0,0,0,0,0
SMAD3,9521,9882,9364,7840,10118,9551,7629,9754,8594,6788,7267,8607
AC012568.1,0,0,0,0,0,0,0,0,0,0,0,0
AAGAB,5462,5590,6186,4524,5741,5884,3741,5061,4031,3391,3739,4319
RPS24P16,0,0,4,2,1,1,1,2,0,3,2,0
IQCH,941,952,937,773,998,1063,671,862,739,610,588,781
IQCH-AS1,416,501,511,365,509,533,337,460,383,320,402,388
C15orf61,694,824,761,561,768,723,573,607,501,486,477,515
AC016355.1,256,214,255,183,260,254,151,198,182,129,147,168
MAP2K5,2524,2774,2787,2127,2937,2553,2139,2738,2254,1969,2074,2210
HNRNPA1P5,38,37,41,34,36,32,20,30,25,18,22,30
SKOR1,605,667,659,537,685,602,511,564,519,478,487,514
AC009292.2,5,17,19,23,11,3,2,9,7,7,9,7
AC009292.1,18,13,12,9,8,12,7,5,7,12,9,12
RNU6-1,28,33,25,24,42,38,24,18,18,13,21,29
AC022254.1,0,0,0,1,0,0,0,0,0,0,0,0
AC135628.1,0,0,0,0,0,0,0,0,0,0,0,0
PIAS1,6920,7060,6633,5439,7804,7509,5105,6501,5292,4393,4873,5485
AC107871.1,118,126,86,81,123,121,104,111,118,98,98,111
CALML4,68,52,53,32,66,53,36,70,53,36,44,63
CLN6,1362,1503,1396,1080,1385,1345,978,1153,1057,879,1037,990
HMGN2P40,2,3,0,1,0,2,1,0,0,0,0,2
AC107871.2,24,24,23,14,19,24,26,23,12,15,15,18
FEM1B,15561,15727,14763,11090,17258,16466,11537,15450,11961,10158,10982,12931
ITGA11,2358,1069,677,1506,776,1156,913,1250,1479,273,310,503
AC100825.1,0,0,0,0,0,0,0,0,2,0,0,0
CORO2B,13158,14194,14844,11503,14523,13872,11807,13561,11942,10907,10941,12796
CARS1P1,0,0,0,1,0,1,0,0,0,0,0,0
ANP32A,20910,21521,21559,16880,20681,21071,14379,18090,15786,13053,14602,17763
MIR4312,22,42,20,20,32,27,13,23,11,23,16,27
SPESP1,4,8,7,2,5,10,2,6,0,2,8,3
AC087639.1,64,92,76,60,75,75,46,47,51,41,50,41
AC087639.2,0,0,0,1,0,0,0,0,0,0,0,1
AC027088.1,0,0,0,0,0,0,0,0,0,0,0,0
NOX5,0,3,2,0,3,3,1,1,2,0,1,3
AC027088.5,0,0,1,0,0,0,0,0,0,0,0,0
AC027088.4,0,0,2,0,0,0,0,0,0,0,0,0
AC027088.3,0,1,0,0,0,0,0,0,0,0,0,0
EWSAT1,22,24,13,16,18,16,14,23,19,15,22,23
AC027088.2,0,0,3,0,0,0,0,0,1,1,0,0
GLCE,2343,2474,2449,1881,2741,2604,1771,2364,1773,1435,1597,1861
AC026992.2,0,2,1,5,1,1,0,1,1,0,3,1
AC026992.1,6,5,7,1,2,4,5,2,5,3,3,8
PAQR5,56,69,57,52,62,74,37,75,46,31,29,46
AC027237.4,1,1,0,1,0,0,0,2,0,0,0,1
AC027237.3,349,331,401,325,365,473,186,284,232,199,220,247
KIF23,3821,3771,3952,3386,3982,3994,2150,2721,2455,1935,2253,2391
AC027237.1,1,0,0,4,1,1,0,2,1,0,1,0
RPLP1,46198,54445,52066,37589,50448,46297,41120,45066,41872,36982,40746,46725
AC027237.2,21,18,26,13,15,16,15,17,9,22,9,16
DRAIC,284,281,298,204,288,246,236,260,312,230,205,233
AC100826.1,1,1,4,4,2,2,0,1,0,1,2,1
AC021818.2,0,0,0,0,0,0,0,0,1,0,0,0
AC021818.1,0,0,1,0,1,1,1,0,0,0,0,1
TLE3,14661,15369,15294,12710,16475,16166,11115,13123,11912,10661,11292,11795
MIR629,0,0,0,0,0,0,0,0,0,0,2,1
RNU6-745P,0,0,0,0,0,0,0,0,0,0,0,0
AC026583.1,0,0,0,0,0,0,0,0,0,0,0,0
AC048383.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02205,0,0,0,0,0,0,0,0,0,0,0,0
AC009434.1,1,0,0,0,0,0,1,0,0,0,0,0
LINC02204,1,6,2,1,0,0,0,0,0,1,0,0
AC087699.1,0,0,0,0,0,0,0,0,0,0,0,0
SALRNA3,0,0,0,0,0,0,0,2,0,0,0,0
SALRNA2,1,0,0,0,1,0,0,2,1,0,0,0
UACA,1672,1576,1449,1159,1918,1688,1340,1758,1397,1119,1196,1398
AC009269.2,0,2,0,1,0,1,0,0,0,0,0,1
AC009269.5,3,3,2,0,3,0,0,0,1,2,1,0
AC009269.3,0,0,1,0,0,0,0,0,0,0,0,0
AC009269.1,0,0,0,0,0,0,0,0,0,0,0,0
RPL29P30,0,0,0,0,0,0,0,0,0,1,0,1
LARP6,3366,3608,3752,2699,3479,3394,2664,2934,2727,2298,2395,2799
AC009269.4,14,24,23,17,16,27,9,16,13,13,11,17
LRRC49,3730,3975,4100,3064,4330,4108,2817,3642,2904,2504,2790,3194
KRT8P9,0,3,0,0,2,1,2,8,5,0,2,2
THAP10,1255,1344,1337,945,1366,1262,959,1149,1004,865,954,991
RPL5P3,31,66,51,42,52,48,44,47,49,43,43,50
THSD4,915,960,847,731,984,900,1112,1267,1184,1017,1100,1096
CT62,1,1,5,3,3,1,1,1,2,1,0,2
THSD4-AS1,17,28,15,14,17,13,9,8,13,10,11,10
HMGB1P6,1369,1464,1465,1092,1523,1444,916,1208,990,866,938,1134
AC064799.2,3,3,3,2,0,5,1,2,2,1,2,2
AC064799.1,270,344,303,208,264,274,271,259,225,214,242,312
AC108861.1,0,0,0,0,0,0,0,0,0,0,0,0
NR2E3,26,31,13,6,26,27,23,30,24,29,14,16
AC104938.1,5,2,3,3,5,4,6,7,1,4,6,1
MYO9A,8454,8012,7776,5933,9508,9226,6673,8779,6941,5554,6412,7555
RNA5SP399,0,0,3,0,0,0,1,0,1,0,0,0
AC022872.1,0,0,0,0,0,1,0,0,0,0,0,0
EIF5A2P1,2,1,5,2,0,3,0,4,4,3,8,2
RNU2-65P,0,0,0,0,0,0,0,0,0,0,1,0
SENP8,1149,1273,1303,1007,1287,1309,982,1194,1013,901,932,1108
